log_time_ns,frame_id,latitude,longitude,altitude,status
1765375369784983905,ublox_rover_circle,52.40152,16.95186085,100.308,2
1765375369784983905,ublox_rover_line,52.40134034,16.95164,100.308,2
1765375369784983905,ublox_rover_wave,52.40152,16.95164,100.308,2
1765375369884983905,ublox_rover_circle,52.40152135,16.95186084,99.926,2
1765375369884983905,ublox_rover_line,52.40134034,16.95164074,99.926,2
1765375369884983905,ublox_rover_wave,52.40152027,16.95164231,99.926,2
1765375369984983905,ublox_rover_circle,52.40152269,16.95186081,100.438,2
1765375369984983905,ublox_rover_line,52.40134034,16.95164147,100.438,2
1765375369984983905,ublox_rover_wave,52.40152054,16.95164462,100.438,2
1765375370084983905,ublox_rover_circle,52.40152404,16.95186075,100.421,2
1765375370084983905,ublox_rover_line,52.40134034,16.95164221,100.421,2
1765375370084983905,ublox_rover_wave,52.40152081,16.95164693,100.421,2
1765375370184983905,ublox_rover_circle,52.40152539,16.95186067,100.125,2
1765375370184983905,ublox_rover_line,52.40134034,16.95164294,100.125,2
1765375370184983905,ublox_rover_wave,52.40152108,16.95164923,100.125,2
1765375370284983905,ublox_rover_circle,52.40152673,16.95186058,100.126,2
1765375370284983905,ublox_rover_line,52.40134034,16.95164368,100.126,2
1765375370284983905,ublox_rover_wave,52.40152135,16.95165152,100.126,2
1765375370384983905,ublox_rover_circle,52.40152808,16.95186045,100.095,2
1765375370384983905,ublox_rover_line,52.40134034,16.95164442,100.095,2
1765375370384983905,ublox_rover_wave,52.40152162,16.95165379,100.095,2
1765375370484983905,ublox_rover_circle,52.40152942,16.95186031,99.962,2
1765375370484983905,ublox_rover_line,52.40134034,16.95164515,99.962,2
1765375370484983905,ublox_rover_wave,52.40152189,16.95165606,99.962,2
1765375370584983905,ublox_rover_circle,52.40153077,16.95186014,100.48,2
1765375370584983905,ublox_rover_line,52.40134034,16.95164589,100.48,2
1765375370584983905,ublox_rover_wave,52.40152216,16.95165831,100.48,2
1765375370684983905,ublox_rover_circle,52.40153211,16.95185996,100.173,2
1765375370684983905,ublox_rover_line,52.40134034,16.95164663,100.173,2
1765375370684983905,ublox_rover_wave,52.40152243,16.95166054,100.173,2
1765375370784983905,ublox_rover_circle,52.40153345,16.95185975,100.158,2
1765375370784983905,ublox_rover_line,52.40134034,16.95164736,100.158,2
1765375370784983905,ublox_rover_wave,52.40152269,16.95166275,100.158,2
1765375370884983905,ublox_rover_circle,52.40153479,16.95185952,100.244,2
1765375370884983905,ublox_rover_line,52.40134034,16.9516481,100.244,2
1765375370884983905,ublox_rover_wave,52.40152296,16.95166494,100.244,2
1765375370984983905,ublox_rover_circle,52.40153613,16.95185926,100.303,2
1765375370984983905,ublox_rover_line,52.40134034,16.95164883,100.303,2
1765375370984983905,ublox_rover_wave,52.40152323,16.9516671,100.303,2
1765375371084983905,ublox_rover_circle,52.40153747,16.95185899,100.298,2
1765375371084983905,ublox_rover_line,52.40134034,16.95164957,100.298,2
1765375371084983905,ublox_rover_wave,52.4015235,16.95166924,100.298,2
1765375371184983905,ublox_rover_circle,52.4015388,16.95185869,100.397,2
1765375371184983905,ublox_rover_line,52.40134034,16.95165031,100.397,2
1765375371184983905,ublox_rover_wave,52.40152377,16.95167134,100.397,2
1765375371284983905,ublox_rover_circle,52.40154014,16.95185837,100.216,2
1765375371284983905,ublox_rover_line,52.40134034,16.95165104,100.216,2
1765375371284983905,ublox_rover_wave,52.40152404,16.95167342,100.216,2
1765375371384983905,ublox_rover_circle,52.40154147,16.95185803,100.239,2
1765375371384983905,ublox_rover_line,52.40134034,16.95165178,100.239,2
